"t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","group"
342,212,162,136,162,262,583,1435,1463,1254,1039,1206,1287,1611,1813,2062,2461,2634,2427,2130,1702,1349,920,592,3
316,160,144,132,169,283,583,1443,1462,1230,1121,1212,1264,1627,1863,2146,2469,2468,2377,2126,1719,1268,963,554,3
299,193,118,101,171,247,554,1432,1497,1157,1021,1142,1233,1546,1729,1957,2185,2526,1947,1552,1523,1298,888,540,3
284,178,136,99,128,246,519,1377,1430,1278,1115,1208,1283,1472,1607,1929,1914,2519,2402,1853,1675,1368,1042,657,4
469,289,191,175,210,274,534,1078,1035,1188,1316,1493,1571,1819,2197,2417,2600,2703,2599,2515,2643,2407,2361,1888,5
802,458,335,204,233,283,479,790,1029,1507,2056,2415,2513,2362,2578,2737,2791,2825,2835,2471,2764,2667,2598,2275,1
1123,337,178,118,166,372,1081,1993,1934,1419,1289,1275,1303,1661,1998,2232,2471,2569,2411,2368,1768,1393,949,530,2
328,206,156,121,153,235,535,1458,1488,1247,1052,1157,1194,1498,1669,1928,2183,2591,2182,1689,1496,1232,848,503,3
278,186,134,96,148,257,528,1415,1516,1174,1162,1118,1194,1523,1684,1985,2155,2550,2497,1868,1613,1318,849,548,3
355,197,140,102,151,229,561,1450,1550,1158,1152,1160,1240,1530,1659,2068,2442,2662,2360,1838,1584,1282,875,499,3
323,197,143,117,171,256,527,1382,1476,1249,1088,1208,1266,1642,1775,2166,2385,2570,2391,2370,1764,1550,1197,767,4
915,755,650,198,218,275,507,1006,1046,1227,1420,1582,1556,1859,2127,2435,2608,2859,2814,2799,2602,2319,2276,1434,5
851,458,281,205,221,272,463,817,1011,1307,1823,2075,2236,2388,2494,2604,2799,2850,2891,2688,2691,2553,2589,2030,1
763,360,162,133,168,433,1045,2075,1887,1433,1407,1419,1382,1629,2019,2358,2683,2585,2457,2189,2496,1662,1017,542,2
297,173,143,101,117,233,533,1488,1467,1311,1180,1279,1240,1812,1891,2150,2462,2440,2519,2473,2283,1456,958,517,3
383,209,147,120,145,212,571,1431,1482,1256,1133,1313,1306,1537,1912,2065,2432,2412,2318,2395,1651,1119,786,480,3
280,183,150,112,142,239,537,1504,1497,1276,1103,1190,1219,1616,1748,2126,2510,2583,2211,1975,1844,1391,1007,557,3
325,197,159,126,145,239,573,1444,1538,1208,1212,1220,1329,1621,1907,2239,2588,2608,2414,2433,2463,1532,1083,712,4
485,258,204,174,187,283,506,1011,1152,1308,1348,1557,1458,1834,2001,2397,2675,2806,2644,2721,2581,2406,2384,2291,5
1042,499,335,306,244,341,521,842,1143,1585,1982,2379,2390,2496,2682,2760,2824,2921,2857,2839,2791,2842,2521,2092,1
1736,423,217,143,161,400,1090,2060,1861,1467,1378,1488,1453,1819,1985,2311,2451,2548,2526,2409,2354,2347,1914,661,2
321,245,151,124,194,257,549,1502,1500,1326,1127,1192,1333,1501,1828,1984,2520,2514,2271,2302,2015,1239,864,506,3
294,174,139,110,121,236,541,1476,1510,1303,1091,1210,1266,1595,1857,2126,2367,2637,2189,1827,1575,1244,930,550,3
